,Target,OBC,Local Var,,,,,,,,,,,,,,
,PacketID,0x24,,,,,,,,,,,,,,,
,Enable/Disable,ENABLE,,,,,,,,,,,,,,,
,IsRestricted,FALSE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Comment,TLM Entry,Onboard Software Info.,,Extraction Info.,,,,Conversion Info.,,,,,,,,Description,Note
,Name,Var.%%##Type,Variable or Function Name,Ext.%%##Type,Pos. Desiginator,,,Conv.%%##Type,Poly (Σa_i * x^i),,,,,,Status,,
,,,,,Octet%%##Pos.,bit%%##Pos.,bit%%##Len.,,a0,a1,a2,a3,a4,a5,,,
,PH.VER,uint16_t,,PACKET,0,0,3,NONE,,,,,,,,,
,PH.TYPE,,,PACKET,0,3,1,NONE,,,,,,,,,
,PH.SH_FLAG,,,PACKET,0,4,1,NONE,,,,,,,,,
,PH.APID,,,PACKET,0,5,11,NONE,,,,,,,,,
,PH.SEQ_FLAG,uint16_t,,PACKET,2,0,2,NONE,,,,,,,,,
,PH.SEQ_COUNT,,,PACKET,2,2,14,NONE,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,PACKET,4,0,16,NONE,,,,,,,,,
,SH.VER,uint8_t,,PACKET,6,0,8,NONE,,,,,,,,,
,SH.TI,uint32_t,,PACKET,7,0,32,NONE,,,,,,,,,
,SH.TLM_ID,uint8_t,,PACKET,11,0,8,HEX,,,,,,,,,
,SH.GLOBAL_TIME,double,,PACKET,12,0,64,NONE,,,,,,,,,
,SH.ON_BOARD_SUBNET_TIME,uint32_t,,PACKET,20,0,32,NONE,,,,,,,,,
,SH.DEST_FLAGS,uint8_t,,PACKET,24,0,8,HEX,,,,,,,,,
,SH.DEST_INFO,uint8_t,,PACKET,25,0,8,NONE,,,,,,,,,
,INFO.CDIS.CDIS_IDX,uint8_t,ccp_dump->info.cdis.cdis_idx,PACKET,26,0,8,NONE,,,,,,,,,
,INFO.CDIS.QUEUE_IDX,uint16_t,ccp_dump->info.cdis.queue_idx,PACKET,27,0,16,NONE,,,,,,,,,
,INFO.BCT.POS.BLOCK,uint16_t,ccp_dump->info.bct.pos.block,PACKET,29,0,16,NONE,,,,,,,,,
,INFO.BCT.POS.CMD,uint8_t,ccp_dump->info.bct.pos.cmd,PACKET,31,0,8,NONE,,,,,,,,,
,DUMP.TARGET,uint8_t,ccp_dump->dump.target,PACKET,32,0,8,STATUS,,,,,,,0=CDIS@@ 1=BCT@@ *=ERR,,
,DUMP.STATUS,uint8_t,ccp_dump->dump.status,PACKET,33,0,8,STATUS,,,,,,,0=OK@@ 1=NOT_FOUND@@ *=ERR,,
,DUMP.DUMP_TIME.TOTAL_CYCLE,uint32_t,ccp_dump->dump.dump_time.total_cycle,PACKET,34,0,32,NONE,,,,,,,,,
,DUMP.DUMP_TIME.STEP,uint32_t,ccp_dump->dump.dump_time.step,PACKET,38,0,32,NONE,,,,,,,,,
,DUMP.CCP.PH.VER,uint16_t,(uint16_t)(ccp_dump->dump.ccp.packet[0] << 8 | ccp_dump->dump.ccp.packet[1]),PACKET,42,0,3,NONE,,,,,,,,,
