v3,Target,OBC,Local Var,,,,,,,,,,,,,,,,,
,PacketID,0xf8,,,,,,,,,,,,,,,,,,
,Enable/Disable,ENABLE,,,,,,,,,,,,,,,,,,
,IsRestricted,FALSE,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Comment,TLM Field,Onboard Software Info.,,Extraction Info.,,,,Conversion Info.,,,,,,,,Display Info.,,,Description,Note
,Name,Var.##Type,Variable or Function Name,Field##Type,Pos. Designator,,,Conv.##Type,Poly (Σa_i * x^i),,,,,,Status,Label,Unit,Format,,
,,,,,Octet##Pos.,bit##Pos.,bit##Len.,,a0,a1,a2,a3,a4,a5,,,,,,
,PH.VER,uint16_t,,uint8_t,0,0,3,NONE,,,,,,,,,,,,
,PH.TYPE,||,,uint8_t,=R[-1]C+INT((R[-1]C[1]+R[-1]C[2])/8),=MOD((R[-1]C+R[-1]C[1])@@8),1,NONE,,,,,,,,,,,,
,PH.SH_FLAG,||,,uint8_t,=R[-1]C+INT((R[-1]C[1]+R[-1]C[2])/8),=MOD((R[-1]C+R[-1]C[1])@@8),1,NONE,,,,,,,,,,,,
,PH.APID,||,,uint16_t,=R[-1]C+INT((R[-1]C[1]+R[-1]C[2])/8),=MOD((R[-1]C+R[-1]C[1])@@8),11,NONE,,,,,,,,,,,,
,PH.SEQ_FLAG,uint16_t,,uint8_t,=R[-1]C+INT((R[-1]C[1]+R[-1]C[2])/8),=MOD((R[-1]C+R[-1]C[1])@@8),2,NONE,,,,,,,,,,,,
,PH.SEQ_COUNT,||,,uint16_t,=R[-1]C+INT((R[-1]C[1]+R[-1]C[2])/8),=MOD((R[-1]C+R[-1]C[1])@@8),14,NONE,,,,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,uint16_t,=R[-1]C+INT((R[-1]C[1]+R[-1]C[2])/8),=MOD((R[-1]C+R[-1]C[1])@@8),=IF(OR(EXACT(RC[-5]@@"uint8_t")@@EXACT(RC[-5]@@"int8_t"))@@8@@IF(OR(EXACT(RC[-5]@@"uint16_t")@@EXACT(RC[-5]@@"int16_t"))@@16@@IF(OR(EXACT(RC[-5]@@"uint32_t")@@EXACT(RC[-5]@@"int32_t")@@EXACT(RC[-5]@@"float"))@@32@@IF(EXACT(RC[-5]@@"double")@@64@@IF(EXACT(RC[-5]@@"raw")@@" "))))),NONE,,,,,,,,,,,,
,SH.VER,uint8_t,,uint8_t,=R[-1]C+INT((R[-1]C[1]+R[-1]C[2])/8),=MOD((R[-1]C+R[-1]C[1])@@8),=IF(OR(EXACT(RC[-5]@@"uint8_t")@@EXACT(RC[-5]@@"int8_t"))@@8@@IF(OR(EXACT(RC[-5]@@"uint16_t")@@EXACT(RC[-5]@@"int16_t"))@@16@@IF(OR(EXACT(RC[-5]@@"uint32_t")@@EXACT(RC[-5]@@"int32_t")@@EXACT(RC[-5]@@"float"))@@32@@IF(EXACT(RC[-5]@@"double")@@64@@IF(EXACT(RC[-5]@@"raw")@@" "))))),NONE,,,,,,,,,,,,
,SH.TI,uint32_t,,uint32_t,=R[-1]C+INT((R[-1]C[1]+R[-1]C[2])/8),=MOD((R[-1]C+R[-1]C[1])@@8),=IF(OR(EXACT(RC[-5]@@"uint8_t")@@EXACT(RC[-5]@@"int8_t"))@@8@@IF(OR(EXACT(RC[-5]@@"uint16_t")@@EXACT(RC[-5]@@"int16_t"))@@16@@IF(OR(EXACT(RC[-5]@@"uint32_t")@@EXACT(RC[-5]@@"int32_t")@@EXACT(RC[-5]@@"float"))@@32@@IF(EXACT(RC[-5]@@"double")@@64@@IF(EXACT(RC[-5]@@"raw")@@" "))))),NONE,,,,,,,,,,,,
